獸醫診所名稱,Name of Vet Clinic,營業地址,Business Address,Latitude,Longitude,區,營業電話號碼1,營業電話號碼2,營業電話號碼3,cat
維多利寵物診所 (元朗),Victoria Veterinary Clinic (Yuen Long),新界元朗民合徑8號幸福樓二期地下11號鋪,"Shop 11, G/F, Hing Fook Building, Phase II, 8 Man Hop Path, Yuen Long, NT",22.4450734,114.0235028,元朗區,24778929,-,-,S
博愛動物醫院,Hospital of Dedication to Animals,新界元朗泰衡街2號大興大廈地下F鋪,"G/F, Shop F, Tai Hing Building, Tai Hang Street, Yuen Long, NT",22.4457529,114.0294385,元朗區,24762988,-,-,S
元朗動物診所,Johnny & Vivian Animal Clinic,新界元朗又新街39號地下,"G/F, 39 Yau San Street, Yuen Long, NT",22.4425756,114.0310827,元朗區,24788733,-,-,S
SAA伍威權動物醫療中心,SAA Albert Wu Veterinary Centre,新界元朗安樂路 35-47 號利群樓地下,"G/F, Lee Kwan Building, No. 35-47 On Lok Road, Yuen Long, NT",22.4454288,114.0318435,元朗區,24752231,-,-,S
專一動物診所,The AIM Animal Clinic,新界元朗鳳翔路69號建輝大廈地下19號鋪,"G/F, Shop 19, Kin Fai Building, 69 Fung Cheung Road, Yuen Long, NT",22.4421341,114.0325404,元朗區,24706683,-,-,S
錦田動物醫院,Pet Elements Animal Hospital,新界元朗錦田錦田巿108號地下,"G/F, 108 Kam Tin Shi, Kam Tin, Yuen Long, NT",22.4400979,114.0619683,元朗區,24752851,-,-,S
錦綉動物診所,Fairview Veterinary Clinic,新界元朗馬田村201號,"201 Ma Tin Tsuen, Yuen Long, NT",22.440437,114.023611,元朗區,24718980,23883205,-,S
元朗獸醫動物及珍禽異獸醫院,Yuen Long Veterinary Small Animal & Exotics Hospital,新界元朗屏會街25號福順樓地下2號鋪,"Shop 2, G/F, Fook Shun Building, 25 Ping Wui Street, Yuen Long, NT",22.447209,114.02181,元朗區,24779990,-,-,S
優活動物診所,Best Life Animal Hospital,新界元朗鳳攸東街 9號好順意大廈A座地下36及37號鋪,"Shop 36 & 37, G/F Ho Shun Yee Building, 9 Fung Yau Street East, Yuen Long, NT",22.442853,114.03495,元朗區,29659518,-,-,S
愛護動物協會 (元朗錦綉動物福利中心),SPCA (Yuen Long Fairview Centre),新界元朗錦綉大道與錦壆路交界,"Fairview Boulevard and Kam Po Road Junction, Yuen Long, NT",22.4729017,114.0510785,元朗區,24822770,-,-,S
新太陽動物醫務所,New Sun Veterinary Clinic Ltd,新界元朗鳳攸北街 9號A昌威大廈地下2號鋪,"Shop 2, G/F, Cheong Wai Mansion, 9A Fung Yau North Street, Yuen Long, NT",22.4441803,114.0335393,元朗區,24758802,-,-,S
元朗仁愛獸醫診所,PetCore Veterinary Clinic,新界元朗安寧路110-136A號好景樓地下12號鋪,"Shop 12, G/F, Ho King House, 110-136A On Ning Road, Yuen Long, NT",22.4462968,114.0239686,元朗區,23947300,-,-,S
卡素拿動物醫院,Casula Veterinary Hospital,新界元朗教育路87-99號鴻發大廈地下G-H鋪,"Shop G-H, G/F, Hung Fat House, 87-99 Kau Yuk Road, Yuen Long, NT",22.4428897,114.0241313,元朗區,29822181,-,-,S
愛護動物協會 (長洲中心),SPCA (Cheung Chau Clinic),長洲東灣,"Tung Wan, Cheung Chau",22.2104191,114.0299387,長洲,29814176,-,-,S
Harry Potter's Veterinary Clinic,,長洲北社新村103號,"103 Pak She San Tsuen, Cheung Chau",22.213779,114.026204,長洲,98073910,69734595,-,S
太陽動物醫務所,Dr Sun Veterinary Clinic,大嶼山梅窩麻布村31號,"No.31, Ma Po Tsuen, Mui Wo, Lantau Island",22.265256,113.991838,大嶼山,82022633,-,-,S
愛護動物協會 (梅窩中心),SPCA (Mui Wo Clinic),大嶼山梅窩中心14號,"Shop 14, Mui Wo Centre, Mui Wo, Lantau Island",22.264246,114.001648,大嶼山,29840060,-,-,S
Tung Chung Vet Centre,,大嶼山東涌海堤灣畔商場地下Q2號鋪,"Shop Q2, Seaview Crescent Retail Shops, 8 Tung Chung Waterfront Road, Tung Chung, Lantau Island",22.2921309,113.9422621,大嶼山,23287282,-,-,S
貝澳獸醫診所,Sigma Veterinary Services Consultants,大嶼山貝澳新圍村地下 (新圍村鄉公所對面),"G/F, San Wai Tsuen, Pui O, Lantau Island (opposite to San Wai Village Office)",22.2434381,113.9774187,大嶼山,29840311,-,-,S
離島獸醫服務,Island Veterinary Services Ltd,大嶼山愉景灣愉景廣場B座G10,"Block B, G10, DB Plaza, Discovery Bay, Lantau Island",22.296272,114.016186,大嶼山,29879003,-,-,S
Community Vet Clinic Ltd.,,大嶼山貝澳新圍村地下 (新圍村鄉公所對面),"G/F, San Wai Tsuen, Pui O, Lantau Island (opposite to San Wai Village Office)",22.2434381,113.9774187,大嶼山,34866100,-,-,S
南丫島獸醫診所,Lamma Veterinary Clinic,南丫島榕樹灣大街64號地下,"G/F, 64 Main Street, Yung Shue Wan, Lamma Island",22.2265488,114.1091169,南丫島,29822481,-,-,S
